Latitude,Longitude,Community Areas,Area(unit)
41.880933500000005,-87.71032070000001,Garfield Park,89976069.5947
41.877632,-87.706474,Garfield Park,89976069.5947
41.895368299999994,-87.7260704,Humboldt Park,125010425.593
41.895113,-87.725892,Humboldt Park,125010425.593
41.895628,-87.728724,Humboldt Park,125010425.593
41.895685,-87.72380600000001,Humboldt Park,125010425.593
41.8935271,-87.72603559999999,Humboldt Park,125010425.593
41.9378469,-87.7542292,Belmont Cragin,109099407.211
41.9399782,-87.7567091,Portage Park,110196097.139
41.9405912,-87.751819,Portage Park,110196097.139
41.938512,-87.751951,Belmont Cragin,109099407.211
41.938709,-87.74646,Belmont Cragin,109099407.211
41.9021109,-87.68708509999999,Ukrainian Village,10622385.5776
41.903277,-87.692133,Humboldt Park,125010425.593
41.9030331,-87.6849435,Ukrainian Village,10622385.5776
41.7497782,-87.7192316,Ashburn,135460337.208
41.9033235,-87.6672711,West Town,58507728.4211
41.8960886,-87.6673767,East Village,7050048.46888
41.900749299999994,-87.6677435,East Village,7050048.46888
41.936493299999995,-87.785842,Belmont Cragin,109099407.211
41.9384568,-87.77617579999999,Portage Park,110196097.139
41.9383357,-87.78351490000001,Belmont Cragin,109099407.211
41.936475,-87.776477,Belmont Cragin,109099407.211
41.934563,-87.783712,Belmont Cragin,109099407.211
41.8371065,-87.7340843,Little Village,127998297.819
41.8367967,-87.7299855,Little Village,127998297.819
41.8368121,-87.7289866,Little Village,127998297.819
41.8368807,-87.72556879999999,Little Village,127998297.819
41.8543669,-87.6640709,Lower West Side,81550723.8231
41.852780700000004,-87.665938,Lower West Side,81550723.8231
41.853288,-87.66119,Lower West Side,81550723.8231
41.8532204,-87.66594609999999,Lower West Side,81550723.8231
41.854043,-87.66566999999999,Lower West Side,81550723.8231
41.8776189,-87.6816762,United Center,32520512.7053
41.8798994,-87.683713,United Center,32520512.7053
41.876090999999995,-87.6838374,United Center,32520512.7053
41.878386,-87.681287,United Center,32520512.7053
